atoms,wavelength(um),source
H,4.051,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,4.654,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,4.673,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,5.129,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
Mg,5.61,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,5.908,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H₂,6.91,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ar,6.985,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Na,7.318,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,7.46,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
H,7.46,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,7.503,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
Ar,8.991,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H₂,9.665,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
S,10.551,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,12.37,https://en.wikipedia.org/wiki/Hydrogen_spectral_series
Ne,12.814,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ar,13.102,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ne,14.322,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ne,15.555,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H₂,17.035,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,17.936,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
S,18.713,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,19.058,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Cl,20.311,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ar,21.83,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,22.331,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,22.925,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,22.925,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ne,24.318,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ne,24.322,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,24.519,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
O,25.89,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,25.988,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,27.803,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
H,29.84,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,33.036,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
S,33.481,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
S,33.481,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Si,34.815,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Fe,35.349,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
Ne,36.014,https://irsa.ipac.caltech.edu/data/SPITZER/docs/irs/irsinstrumenthandbook/25/#_Toc312238559
